Date,Open,High,Low,Close,Adj Close,Volume

2023-12-06,0.094248,0.105432,0.093774,0.094864,0.094864,2606846041
2023-12-07,0.094891,0.097939,0.093308,0.095920,0.095920,1229053762
2023-12-08,0.095914,0.103406,0.095825,0.101470,0.101470,1017561991
2023-12-09,0.101496,0.104615,0.098041,0.098542,0.098542,1122491938
2023-12-10,0.098543,0.102636,0.097152,0.101801,0.101801,687190079
2023-12-11,0.101812,0.105837,0.091815,0.094384,0.094384,1973481451
2023-12-12,0.094382,0.097453,0.091542,0.093835,0.093835,948285886
2023-12-13,0.093820,0.097382,0.090605,0.096428,0.096428,812811810
2023-12-14,0.096427,0.098679,0.094975,0.098255,0.098255,742258598
2023-12-15,0.098269,0.098611,0.092973,0.093004,0.093004,614056351
2023-12-16,0.093004,0.094174,0.092285,0.093921,0.093921,564597248
